asset_id,session,asset,path_or_url,owner_role,status,dependency,due_gate,validation_evidence,signatory
S02-LP-01,S02,lesson plan,docs/lessons/session-02-build-the-evidence-engine/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S02-QZ-01,S02,quiz A/B,docs/lessons/session-02-build-the-evidence-engine/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S02-BUNDLE-01,S02,complete student instructor LMS source bundle,docs/lessons/session-02-build-the-evidence-engine/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S02-PACK-01,S02,source data and claim packs,docs/lessons/session-02-build-the-evidence-engine/content-packs.md,stream/data producers,Authored,source allow-list and independent review,Equivalence gate,lineage and calculation fixtures,stream reviewer
S02-SIM-01,S02,evidence contradiction fixtures,docs/lessons/session-02-build-the-evidence-engine/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,V01 suite,LMS product lead
S02-FALL-01,S02,offline/accessibility pack,docs/lessons/session-02-build-the-evidence-engine/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
S03-LP-01,S03,lesson plan,docs/lessons/session-03-make-ai-know/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S03-QZ-01,S03,quiz A/B,docs/lessons/session-03-make-ai-know/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S03-BUNDLE-01,S03,complete student instructor LMS source bundle,docs/lessons/session-03-make-ai-know/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S03-PACK-01,S03,corpora and evaluation packs,docs/lessons/session-03-make-ai-know/content-packs.md,stream/content producers,Authored,identity/data policy and independent review,Equivalence gate,grounding and injection tests,stream reviewer
S03-SIM-01,S03,Controlled Grounding Lab,docs/lessons/session-03-make-ai-know/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,V02 suite,LMS product lead
S03-FALL-01,S03,offline/accessibility pack,docs/lessons/session-03-make-ai-know/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
S04-LP-01,S04,lesson plan,docs/lessons/session-04-package-judgment/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S04-QZ-01,S04,quiz A/B,docs/lessons/session-04-package-judgment/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S04-BUNDLE-01,S04,complete student instructor LMS source bundle,docs/lessons/session-04-package-judgment/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S04-PACK-01,S04,method job and test packs,docs/lessons/session-04-package-judgment/content-packs.md,stream producers,Authored,independent stream review,Equivalence gate,clean-session equivalence,stream reviewer
S04-SIM-01,S04,Method Layer workbench fixtures,docs/lessons/session-04-package-judgment/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,V03 suite,LMS product lead
S04-FALL-01,S04,offline/accessibility pack,docs/lessons/session-04-package-judgment/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
S05-LP-01,S05,lesson plan,docs/lessons/session-05-make-the-system-act/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S05-QZ-01,S05,quiz A/B,docs/lessons/session-05-make-the-system-act/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S05-BUNDLE-01,S05,complete student instructor LMS source bundle,docs/lessons/session-05-make-the-system-act/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S05-PACK-01,S05,event schema and failure packs,docs/lessons/session-05-make-the-system-act/content-packs.md,stream producers,Authored,independent stream review,Equivalence gate,noun-swap and workload test,stream reviewer
S05-SIM-01,S05,Workflow Control Room fixtures,docs/lessons/session-05-make-the-system-act/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,V04 suite,LMS product lead
S05-FALL-01,S05,offline/accessibility pack,docs/lessons/session-05-make-the-system-act/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
S06-LP-01,S06,lesson plan,docs/lessons/session-06-ship-the-right-prototype/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S06-QZ-01,S06,quiz A/B,docs/lessons/session-06-ship-the-right-prototype/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S06-BUNDLE-01,S06,complete student instructor LMS source bundle,docs/lessons/session-06-ship-the-right-prototype/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S06-PACK-01,S06,form adapters and pathway tasks,docs/lessons/session-06-ship-the-right-prototype/content-packs.md,technical producer,Authored,golden stack implementation,Technical gate,V05 adapter suites,technical owner
S06-SIM-01,S06,prototype task fixtures,docs/lessons/session-06-ship-the-right-prototype/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,normal and safe-failure tests,LMS product lead
S06-FALL-01,S06,replay/accessibility pack,docs/lessons/session-06-ship-the-right-prototype/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
S07-LP-01,S07,lesson plan,docs/lessons/session-07-task-attempts-and-reliability/lesson-plan.md,lesson owner,Drafted,exchange contract,Content gate,independent lesson validation,course architect
S07-QZ-01,S07,quiz A/B,docs/lessons/session-07-task-attempts-and-reliability/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S07-BUNDLE-01,S07,complete student instructor LMS source bundle,docs/lessons/session-07-task-attempts-and-reliability/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S07-PACK-01,S07,role input and condition packs,docs/lessons/session-07-task-attempts-and-reliability/content-packs.md,stream producers,Authored,independent stream review,Equivalence gate,variant and leakage test,stream reviewer
S07-SIM-01,S07,task exchange specification and fixtures,docs/lessons/session-07-task-attempts-and-reliability/simulator-spec.md,LMS engineering,Authored,privacy matcher and LMS implementation,Technical gate,480-roster load and threat tests,LMS product lead
S07-FALL-01,S07,incident-equivalent replay packs,docs/lessons/session-07-task-attempts-and-reliability/accessibility-fallback.md,simulation/accessibility,Authored,equated live pilot,Accessibility gate,outage and parity test,accessibility owner
S08-LP-01,S08,lesson plan,docs/lessons/session-08-communicate-for-the-role/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S08-QZ-01,S08,quiz A/B,docs/lessons/session-08-communicate-for-the-role/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S08-BUNDLE-01,S08,complete student instructor LMS source bundle,docs/lessons/session-08-communicate-for-the-role/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S08-PACK-01,S08,stakeholder format and constraint packs,docs/lessons/session-08-communicate-for-the-role/content-packs.md,stream/media producers,Authored,rights policy and independent review,Equivalence gate,claim and accessibility tests,stream reviewer
S08-SIM-01,S08,communication lab fixtures,docs/lessons/session-08-communicate-for-the-role/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,V07 suite,LMS product lead
S08-FALL-01,S08,text and static alternatives,docs/lessons/session-08-communicate-for-the-role/accessibility-fallback.md,delivery/accessibility,Authored,modality pilot,Accessibility gate,modality parity test,accessibility owner
S09-LP-01,S09,lesson plan,docs/lessons/session-09-recruiter-proof/lesson-plan.md,lesson owner,Drafted,proof templates,Content gate,independent lesson validation,course architect
S09-QZ-01,S09,quiz A/B,docs/lessons/session-09-recruiter-proof/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S09-BUNDLE-01,S09,complete student instructor LMS source bundle,docs/lessons/session-09-recruiter-proof/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S09-PACK-01,S09,public and private proof templates,docs/lessons/session-09-recruiter-proof/content-packs.md,career/content owner,Authored,publication policy and independent review,Portfolio gate,recruiter reproduction test,career owner
S09-SIM-01,S09,publication and proof checks,docs/lessons/session-09-recruiter-proof/simulator-spec.md,LMS engineering,Authored,LMS implementation,Technical gate,V08 and V09 suite,LMS product lead
S09-FALL-01,S09,private and pseudonymous path,docs/lessons/session-09-recruiter-proof/accessibility-fallback.md,privacy/accessibility,Authored,consent and accessibility pilot,Accessibility gate,unpublish and parity test,privacy owner
S10-LP-01,S10,lesson plan,docs/lessons/session-10-operate-under-pressure/lesson-plan.md,lesson owner,Drafted,hidden packs,Content gate,independent lesson validation,course architect
S10-QZ-01,S10,quiz A/B,docs/lessons/session-10-operate-under-pressure/quiz.md,assessment lead,Drafted,item pilot and containment,Assessment gate,item/security statistics,assessment lead
S10-BUNDLE-01,S10,complete student instructor LMS source bundle,docs/lessons/session-10-operate-under-pressure/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S10-PACK-01,S10,hidden and reserve transfer packs,docs/lessons/session-10-operate-under-pressure/content-packs.md,assessment/stream producers,Authored,independent equivalence and security review,Assessment gate,time equivalence and leakage report,assessment lead
S10-SIM-01,S10,clean-session transfer runner,docs/lessons/session-10-operate-under-pressure/simulator-spec.md,LMS engineering,Authored,LMS implementation,Technical gate,V10 and incident suites,LMS product lead
S10-FALL-01,S10,sealed offline and accessibility forms,docs/lessons/session-10-operate-under-pressure/accessibility-fallback.md,assessment/accessibility,Authored,equated pilot,Accessibility gate,timed parity test,accessibility owner
