artifact_set_version,artifact_id,title,text_alternative,row_order,headers_json,row_json
S3-VIZ-A11Y-v1,S3-VIZ-03-A11Y@1,skewed MRR distribution,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data",1,"[""MRR range (USD)"",""Illustrative count""]","[""Exactly 0"",""31""]"
S3-VIZ-A11Y-v1,S3-VIZ-03-A11Y@1,skewed MRR distribution,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data",2,"[""MRR range (USD)"",""Illustrative count""]","[""1–999"",""42""]"
S3-VIZ-A11Y-v1,S3-VIZ-03-A11Y@1,skewed MRR distribution,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data",3,"[""MRR range (USD)"",""Illustrative count""]","[""1,000–9,999"",""19""]"
S3-VIZ-A11Y-v1,S3-VIZ-03-A11Y@1,skewed MRR distribution,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data",4,"[""MRR range (USD)"",""Illustrative count""]","[""10,000–49,999"",""6""]"
S3-VIZ-A11Y-v1,S3-VIZ-03-A11Y@1,skewed MRR distribution,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data",5,"[""MRR range (USD)"",""Illustrative count""]","[""50,000+"",""2""]"
S3-VIZ-A11Y-v1,S3-VIZ-04-A11Y@1,growth around zero,Each category has one median 30-day revenue-growth percentage from a snapshot. Values can be below or above zero; the comparison needs direction and magnitude. These are not dated observations of a time series,1,"[""Category"",""Median revenue growth, 30d""]","[""Analytics"",""+18%""]"
S3-VIZ-A11Y-v1,S3-VIZ-04-A11Y@1,growth around zero,Each category has one median 30-day revenue-growth percentage from a snapshot. Values can be below or above zero; the comparison needs direction and magnitude. These are not dated observations of a time series,2,"[""Category"",""Median revenue growth, 30d""]","[""Commerce"",""+6%""]"
S3-VIZ-A11Y-v1,S3-VIZ-04-A11Y@1,growth around zero,Each category has one median 30-day revenue-growth percentage from a snapshot. Values can be below or above zero; the comparison needs direction and magnitude. These are not dated observations of a time series,3,"[""Category"",""Median revenue growth, 30d""]","[""Developer tools"",""0%""]"
S3-VIZ-A11Y-v1,S3-VIZ-04-A11Y@1,growth around zero,Each category has one median 30-day revenue-growth percentage from a snapshot. Values can be below or above zero; the comparison needs direction and magnitude. These are not dated observations of a time series,4,"[""Category"",""Median revenue growth, 30d""]","[""Productivity"",""−7%""]"
S3-VIZ-A11Y-v1,S3-VIZ-04-A11Y@1,growth around zero,Each category has one median 30-day revenue-growth percentage from a snapshot. Values can be below or above zero; the comparison needs direction and magnitude. These are not dated observations of a time series,5,"[""Category"",""Median revenue growth, 30d""]","[""Marketing"",""−14%""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",1,"[""Payment-provider label"",""Illustrative record count""]","[""Stripe"",""58""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",2,"[""Payment-provider label"",""Illustrative record count""]","[""Lemon Squeezy"",""21""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",3,"[""Payment-provider label"",""Illustrative record count""]","[""Paddle"",""14""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",4,"[""Payment-provider label"",""Illustrative record count""]","[""Stripe + Paddle"",""7""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",5,"[""Payment-provider label"",""Illustrative record count""]","[""Other named labels"",""16""]"
S3-VIZ-A11Y-v1,S3-VIZ-05-A11Y@1,provider frequency,"The field is categorical and the task is to compare record counts. Labels include individual providers, combined strings and missing values. A combined label such as “Stripe + Paddle” has not been split into two records in this table",6,"[""Payment-provider label"",""Illustrative record count""]","[""Missing"",""4""]"
S3-VIZ-A11Y-v1,S3-VIZ-06-A11Y@1,MRR distributions by audience,"Three audience groups contain unequal numbers of MRR observations. Every group is right-skewed and contains outliers. The task is to compare centre, spread and unusual values while keeping group size visible",1,"[""Audience"",""Complete n"",""Median MRR (USD)"",""Middle 50% (USD)"",""Largest observed (USD)""]","[""B2B"",""84"",""2,400"",""700–8,900"",""94,000""]"
S3-VIZ-A11Y-v1,S3-VIZ-06-A11Y@1,MRR distributions by audience,"Three audience groups contain unequal numbers of MRR observations. Every group is right-skewed and contains outliers. The task is to compare centre, spread and unusual values while keeping group size visible",2,"[""Audience"",""Complete n"",""Median MRR (USD)"",""Middle 50% (USD)"",""Largest observed (USD)""]","[""B2C"",""39"",""900"",""150–3,200"",""31,000""]"
S3-VIZ-A11Y-v1,S3-VIZ-06-A11Y@1,MRR distributions by audience,"Three audience groups contain unequal numbers of MRR observations. Every group is right-skewed and contains outliers. The task is to compare centre, spread and unusual values while keeping group size visible",3,"[""Audience"",""Complete n"",""Median MRR (USD)"",""Middle 50% (USD)"",""Largest observed (USD)""]","[""Both"",""27"",""1,700"",""400–6,100"",""57,000""]"
